,latitude,longitude,station id,station name,nhood id
94,40.74177603,-74.00149746,116,W 17 St & 8 Ave,4
95,40.75022392,-73.97121414,2017,E 43 St & 2 Ave,11
96,40.74708586,-73.94977234,3125,45 Rd & 11 St,9
97,40.72019576,-73.98997825,401,Allen St & Rivington St,1
98,40.70862144,-74.00722156,376,John St & William St,3
99,40.73624527,-73.98473765,325,E 19 St & 3 Ave,10
100,40.75172632,-73.98753523,362,Broadway & W 37 St,8
101,40.74034320000001,-73.98955109,402,Broadway & E 22 St,8
102,40.683048,-73.964915,384,Fulton St & Washington Ave,12
103,40.728145,-73.990214,300,Shevchenko Pl & E 7 St,10
104,40.69580705,-73.97355569,419,Carlton Ave & Park Ave,2
105,40.76669671,-73.99061728,480,W 53 St & 10 Ave,5
106,40.689888,-73.981013,324,DeKalb Ave & Hudson Ave,2
107,40.7451677,-73.98683077,474,5 Ave & E 29 St,8
108,40.72740794,-73.98142006,445,E 10 St & Avenue A,10
109,40.732659999999996,-73.95826,3116,Huron St & Franklin St,10
110,40.73912601,-73.97973776,507,E 25 St & 2 Ave,10
111,40.7361967,-74.00859207,238,Bank St & Washington St,4
112,40.75640548,-73.9900262,477,W 41 St & 8 Ave,8
113,40.72210378668603,-73.99724900722505,151,Cleveland Pl & Spring St,2
114,40.770513,-73.988038,422,W 59 St & 10 Ave,7
115,40.77579376683666,-73.97620573639871,3165,Central Park West & W 72 St,7
116,40.71929301,-73.94500379,3095,Graham Ave & Herbert St,10
117,40.72903917,-73.99404649,335,Washington Pl & Broadway,4
118,40.73587678,-73.98205027,461,E 20 St & 2 Ave,10
119,40.76695317,-73.98169333,457,Broadway & W 58 St,7
120,40.77518615,-73.94446054,3157,East End Ave & E 86 St,6
121,40.726280700000004,-73.98978041,439,E 4 St & 2 Ave,10
122,40.6794268,-73.92989109999998,3042,Fulton St & Utica Ave,12
123,40.72456089,-73.99565293,250,Lafayette St & Jersey St N,1
124,40.716887,-73.96319799999998,2002,Wythe Ave & Metropolitan Ave,10
125,40.72521311,-73.97768752,394,E 9 St & Avenue C,10
126,40.74195138,-74.00803013,225,W 14 St & The High Line,4
127,40.77862688,-73.95772073,3145,E 84 St & Park Ave,6
128,40.76500525,-73.95818491,3141,1 Ave & E 68 St,9
129,40.68807003,-73.98410637,395,Bond St & Schermerhorn St,2
130,40.735238,-74.000271,383,Greenwich Ave & Charles St,4
131,40.68312489,-73.97895137,467,Dean St & 4 Ave,2
132,40.714215,-73.981346,502,Henry St & Grand St,1
