,start station id,start station name,start station latitude,start station longitude,start neighborhood,start median income,start borough
476,3157,East End Ave & E 86 St,40.77518615,-73.94446054,14,92921.0,1
482,3321,Clinton St & Union St,40.683116399999996,-73.99785267,1,79054.0,0
486,3350,W 100 St & Broadway,40.797372100000004,-73.97041192,10,92971.0,1
488,3404,7 St & 5 Ave,40.67049220000001,-73.98541675,36,99003.0,0
498,3145,E 84 St & Park Ave,40.77862688,-73.95772073,35,147762.0,1
499,406,Hicks St & Montague St,40.69512845,-73.99595065,37,105126.0,0
509,3376,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,32,97507.0,1
510,3162,W 78 St & Broadway,40.78339981,-73.98093133,10,92971.0,1
520,302,Avenue D & E 3 St,40.72082834,-73.97793172,30,31935.0,1
530,305,E 58 St & 3 Ave,40.76095756,-73.96724467,2,109966.0,1
532,3419,Douglass St & 4 Ave,40.67927879999999,-73.98154004,36,99003.0,0
536,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,21,62096.0,0
538,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,10,92971.0,1
541,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,0,58595.0,2
542,3431,E 35 St & 3 Ave,40.746524,-73.977885,13,97707.0,1
557,3310,14 St & 7 Ave,40.663779,-73.98396846,36,99003.0,0
562,494,W 26 St & 8 Ave,40.74734825,-73.99723551,20,100734.0,1
564,3141,1 Ave & E 68 St,40.76500525,-73.95818491,32,97507.0,1
568,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15,110912.0,1
573,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,16,36250.0,0
583,3425,2 Ave  & E 104 St,40.789210499999996,-73.94370784,27,35760.0,1
589,3361,Carroll St & 6 Ave,40.6740886,-73.9787282,36,99003.0,0
599,393,E 5 St & Avenue C,40.72299208,-73.97995466,30,31935.0,1
608,3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,34,113844.0,1
609,319,Fulton St & Broadway,40.711065999999995,-74.009447,19,123243.0,1
610,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,6,58869.0,0
612,296,Division St & Bowery,40.71413089,-73.99704679999998,12,34549.0,1
623,359,E 47 St & Park Ave,40.75510267,-73.97498696,2,109966.0,1
624,3176,W 64 St & West End Ave,40.77452835,-73.98753759,33,113829.0,1
626,3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,7,110790.0,1
628,3429,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,6,58869.0,0
635,3379,E 103 St & Lexington Ave,40.79030510000001,-73.94755757,27,35760.0,1
637,3377,Carroll St & Bond St,40.6786115,-73.99037292,1,79054.0,0
638,3387,E 106 St & Madison Ave,40.79343370000001,-73.94945003,27,35760.0,1
656,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,14,92921.0,1
666,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,19,123243.0,1
671,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,6,58869.0,0
675,326,E 11 St & 1 Ave,40.72953837,-73.98426726,25,69293.0,1
677,174,E 25 St & 1 Ave,40.7381765,-73.97738662,13,97707.0,1
682,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,6,58869.0,0
683,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,6,58869.0,0
697,3232,Bond St & Fulton St,40.68962188790333,-73.98304268717766,31,76775.0,0
698,168,W 18 St & 6 Ave,40.73971301,-73.99456405,20,100734.0,1
699,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,10,92971.0,1
701,448,W 37 St & 10 Ave,40.75660359,-73.9979009,20,100734.0,1
704,456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,34,113844.0,1
705,147,Greenwich St & Warren St,40.71542197,-74.01121978,7,110790.0,1
708,3290,E 89 St & York Ave,40.7779453,-73.94604100000002,14,92921.0,1
713,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,33,113829.0,1
716,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,32,97507.0,1
718,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,14,92921.0,1
724,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,30,31935.0,1
725,515,W 43 St & 10 Ave,40.76009437,-73.99461843,4,69821.0,1
728,2012,E 27 St & 1 Ave,40.739445,-73.97680600000002,13,97707.0,1
738,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,35,147762.0,1
739,3328,W 100 St & Manhattan Ave,40.795,-73.9645,10,92971.0,1
755,455,1 Ave & E 44 St,40.75001986,-73.96905301,2,109966.0,1
763,350,Clinton St & Grand St,40.71559509,-73.9870295,30,31935.0,1
773,3140,1 Ave & E 78 St,40.77140426,-73.9535166,32,97507.0,1
783,450,W 49 St & 8 Ave,40.76227205,-73.98788205,4,69821.0,1
785,449,W 52 St & 9 Ave,40.76461837,-73.98789473,4,69821.0,1
803,3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,7,110790.0,1
813,3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,20,100734.0,1
818,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,11,36282.0,0
822,229,Great Jones St,40.72743423,-73.99379025,15,110912.0,1
823,3430,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,23,47004.0,0
831,267,Broadway & W 36 St,40.75097711,-73.98765428,34,113844.0,1
869,3289,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,10,92971.0,1
871,3355,E 66 St & Madison Ave,40.768008893059466,-73.96845281124116,35,147762.0,1
878,295,Pike St & E Broadway,40.71406667,-73.99293911,12,34549.0,1
889,3304,6 Ave & 9 St,40.668127,-73.98377641,36,99003.0,0
910,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,29,56772.0,0
913,3294,E 91 St & Park Ave,40.7835016,-73.955327,35,147762.0,1
